version,samples,run,time_seconds,iterations
sequential,17500,1,16.833176,98
sequential,17500,2,16.820999,98
sequential,17500,3,16.762372,98
openmp_gpu,17500,1,0.726424,98
openmp_gpu,17500,2,0.706655,98
openmp_gpu,17500,3,0.708833,98
cuda,17500,1,0.974223,98
cuda,17500,2,0.986767,98
cuda,17500,3,0.992443,98
sequential,35000,1,36.029206,105
sequential,35000,2,36.060078,105
sequential,35000,3,36.035707,105
openmp_gpu,35000,1,1.143878,105
openmp_gpu,35000,2,1.122235,105
openmp_gpu,35000,3,1.122882,105
cuda,35000,1,1.736674,105
cuda,35000,2,1.736254,105
cuda,35000,3,1.741465,105
sequential,70000,1,88.079892,129
sequential,70000,2,88.338053,129
sequential,70000,3,88.300553,129
openmp_gpu,70000,1,2.508339,129
openmp_gpu,70000,2,2.485027,129
openmp_gpu,70000,3,2.496777,129
cuda,70000,1,5.822245,129
cuda,70000,2,5.815358,129
cuda,70000,3,5.844876,129
sequential,140000,1,175.938491,129
sequential,140000,2,176.222623,129
sequential,140000,3,176.630506,129
openmp_gpu,140000,1,4.385582,129
openmp_gpu,140000,2,4.379015,129
openmp_gpu,140000,3,4.376982,129
cuda,140000,1,19.215639,129
cuda,140000,2,19.216204,129
cuda,140000,3,19.218220,129
sequential,280000,1,352.870253,129
sequential,280000,2,353.883401,129
sequential,280000,3,352.268785,129
openmp_gpu,280000,1,8.488583,129
openmp_gpu,280000,2,8.495965,129
openmp_gpu,280000,3,8.502992,129
cuda,280000,1,38.487199,129
cuda,280000,2,38.540936,129
cuda,280000,3,38.552781,129
sequential,560000,1,706.406797,129
sequential,560000,2,635.217512,129
sequential,560000,3,630.015974,129
openmp_gpu,560000,1,16.619272,129
openmp_gpu,560000,2,16.589624,129
openmp_gpu,560000,3,16.596715,129
cuda,560000,1,79.991045,129
cuda,560000,2,79.999736,129
cuda,560000,3,80.066675,129
