version,samples,run,time_seconds,iterations
mpi_openmp_64,17500,1,0.272248,98
mpi_openmp_64,17500,2,0.262438,98
mpi_openmp_64,17500,3,0.256886,98
mpi_openmp_64,35000,1,0.536343,105
mpi_openmp_64,35000,2,0.525263,105
mpi_openmp_64,35000,3,0.538288,105
mpi_openmp_64,70000,1,1.237204,129
mpi_openmp_64,70000,2,1.242958,129
mpi_openmp_64,70000,3,1.246325,129
mpi_openmp_64,140000,1,2.435360,129
mpi_openmp_64,140000,2,2.427982,129
mpi_openmp_64,140000,3,2.426387,129
mpi_openmp_64,280000,1,4.845382,129
mpi_openmp_64,280000,2,4.818021,129
mpi_openmp_64,280000,3,4.821401,129
mpi_openmp_64,560000,1,9.660959,129
mpi_openmp_64,560000,2,9.624155,129
mpi_openmp_64,560000,3,9.595102,129
