total_threads,processos,threads_por_processo,amostras,amostras_por_processo,execucao,tempo_seg,iteracoes
4,1,4,17500,17500,1,3.284537,98
4,1,4,17500,17500,2,3.284270,98
4,1,4,17500,17500,3,3.286918,98
8,2,4,35000,17500,1,3.583980,105
8,2,4,35000,17500,2,3.589461,105
8,2,4,35000,17500,3,3.562919,105
16,4,4,70000,17500,1,4.408275,129
16,4,4,70000,17500,2,4.462530,129
16,4,4,70000,17500,3,4.427092,129
32,8,4,140000,17500,1,4.651611,129
32,8,4,140000,17500,2,4.631486,129
32,8,4,140000,17500,3,4.628190,129
64,16,4,280000,17500,1,4.851550,129
64,16,4,280000,17500,2,4.910778,129
64,16,4,280000,17500,3,4.886618,129
